lat,lon,univ_research_count_5000m
-23.5471938,-46.6524631,66
-23.5302086,-46.63424,63
-23.5003451,-47.4582864,19
-23.475727,-46.8575864,5
-23.4751824,-46.8564354,5
-23.323631,-51.1573953,35
-23.2353371,-45.9166049,24
-23.2324983,-45.8519596,30
-23.2102123,-45.8764544,32
-23.1867782,-45.8854538,25
-23.1590428,-49.9739664,11
-23.0861425,-46.9756255,0
-22.9489749,-47.1494191,2
-22.9240309,-46.9722339,1
-22.9110137,-43.2093727,22
-22.9056391,-47.059564,11
-22.8721188,-43.232346,17
-22.8533498,-43.2331703,14
-22.8516682,-47.1271293,3
-22.822656,-47.0627959,12
-22.8125902,-47.0615235,12
-22.8032443,-47.0539244,12
-22.5972124,27.1220136,1
-22.5323633,-43.2076213,5
-22.4129731,-45.4489197,4
-22.3173803,-49.0689778,6
-22.2868125,-42.542038,4
-22.2828305,-41.9649091,0
-22.0702705,-48.4333875,0
-21.9992534,-47.9307914,0
-21.9687099,-46.7969216,8
-21.7769066,-43.3691606,10
-21.2425512,-44.9991978,8
-21.1335755,-44.2588086,23
-20.7866799,-51.7061247,3
-20.7844139,-47.097717,0
-20.767635,-42.8587855,5
-20.3200917,-40.3376682,12
-20.2342792,-41.5082981,1
-20.2140657,-70.1524646,5
-19.9703184,-44.206495,3
-19.9665506,-44.045715,4
-19.9391867,-43.9992587,7
-19.9227318,-43.9450948,28
-19.9190461,-43.9379691,24
-19.809444,-43.173334,5
-19.6009149,-46.940923,2
-19.5133182,29.8325151,2
-18.5264844,-44.1588654,0
-18.1702546,-47.9447082,4
-18.1505456,178.4437101,8
-18.1415884,178.4421662,8
-17.8856178,-51.7202967,7
-17.774834,15.7658336,3
-17.2222493,-64.8385854,0
-16.9206657,145.7721854,1
-16.680882,-49.2532691,43
-16.6769656,-49.2438643,40
-16.4127803,-71.524694,15
-16.3988667,-71.5369607,15
-15.0,-70.0,0
-13.6566059,-73.3790665,1
-13.6373482,-72.8788744,4
-12.9822499,-38.4812772,52
-12.6722649,-39.1053665,1
-12.5938633,-69.1866773,3
-12.2168944,-76.9491496,5
-12.0833798,-77.0683291,51
-12.070287,-77.0806501,41
-12.068098,-75.2100953,10
-12.0237167,-77.0484868,20
-11.9546373,-76.987467,5
-9.4329291,159.9890278,5
-9.4076249,-36.6323616,4
-8.8162775,115.1541201,26
-8.7947286,115.1739037,26
-8.7494525,-63.8735438,8
-8.5855447,116.0917893,90
-8.5390919,125.6822457,9
-8.5315972,140.4160531,1
-8.489863,117.4195965,1
-8.3515662,-34.9473961,0
-8.2724656,113.3703718,0
-8.0584933,-34.8848193,20
-8.0473494,-34.8926755,21
-7.9741012,112.655803,13
-7.9517994,112.6138388,26
-7.8336145,110.3825797,30
-7.7730335,110.3838155,90
-7.7701514,110.3859942,90
-7.7481283,-37.6346614,3
-7.6880648,110.41383,1
-7.5594794,110.8568535,15
-7.5565611,110.7710255,21
-7.4033788,109.2459047,24
-7.3333073,112.7828885,22
-7.2826954,112.7956782,29
-7.2764584,112.7942117,29
-7.2663606,112.7862198,30
-7.2602406,112.7889911,25
-7.2462836,112.7377674,9
-7.2246743,-35.8771292,11
-7.1219366,-36.7246845,0
-7.0515579,110.4395309,7
-7.0458782,110.3230349,3
-6.9738884,107.5511389,0
-6.9218457,107.6070833,66
-6.8904487,107.6103136,67
-6.814784,39.2800067,12
-6.5106721,-36.3492736,0
-6.3653557,106.8283599,12
-6.3461106,106.6914954,20
-6.3227016,106.7085737,11
-6.3158918,106.7942773,25
-6.2626481,106.8881181,18
-6.2553138,107.1450733,1
-6.2288079,106.8180845,38
-6.1970663,106.8520401,54
-6.1869847,106.6266615,14
-6.1831021,106.8354329,43
-6.1761924,106.6382161,11
-6.1754049,106.827168,37
-6.1726007,106.8785732,34
-5.8417047,-35.1968805,14
-5.8246998,-35.2068498,15
-5.2114251,-37.3140843,12
-5.1325657,119.4884552,41
-5.0874608,-42.8049571,30
-4.2250831,-38.7054353,2
-3.7932167,-38.5280359,12
-3.7477845,-38.4610596,9
-3.733447,-38.645106,1
-3.0147813,-60.0283101,2
-2.9190926,-79.0024466,31
-2.9014091,-78.9938682,34
-1.935394,30.1586347,4
-1.7069965,102.7140041,0
-1.6698388,-78.6535703,9
-1.6665685,29.225652,5
-1.6526781,-78.6422337,9
-1.2796562,36.816147,18
-1.2432353,-78.6305607,12
-1.150076,116.8624491,1
-0.9976251,-78.5835337,4
-0.9305236,-78.6157705,6
-0.7389425,34.7539855,0
-0.5639601,34.3187819,0
-0.3978998,36.9616384,3
-0.2201641,-78.5123274,39
-0.2102789,-78.488861,45
-0.0579607,109.3466533,13
-0.0226903,109.3447488,13
0.3346423,32.5661632,33
0.3578925,-78.1115525,8
0.5464993,34.0209142,1
0.5587458,123.0558368,6
1.2784981,103.8361062,14
1.2899175,103.8519072,14
1.2959845,103.7766186,14
1.2962018,103.7768977,14
1.3003557,103.7799727,19
1.3162091,103.8935611,4
1.3209424,103.8795942,7
1.3240168,103.6418398,1
1.3275858,103.8706298,7
1.3413227,103.9626397,2
1.3432281,103.6803245,1
1.3484104,103.6829332,1
1.3742717,103.8657307,0
1.4406983,103.8403956,0
1.4581986,103.7649059,5
1.5597561,110.345397,4
1.8585385,103.0852742,0
2.229154,102.2983751,3
2.2491829,102.2775665,3
2.3293744,102.2880962,2
2.3412444,111.8447989,2
2.723099,101.9400601,1
2.8029227,101.8001051,4
2.8327038,101.7027641,3
2.9240809,101.7812216,45
2.9467664,101.8751704,3
2.9826748,101.7905301,5
2.9908795,101.7829391,6
2.9918365,101.720677,8
2.9935685,101.7234157,8
2.9948437,101.7896595,38
3.0505833,101.6994837,6
3.0557071,101.7009925,6
3.0660191,101.7184242,6
3.0686895,101.4995983,1
3.0739429,101.5185278,4
3.0781381,101.5527118,5
3.0789392,101.7326363,7
3.1197181,101.5601083,8
3.1219054,101.6571566,20
3.1257602,101.6558796,21
3.1276441,101.7373364,6
3.1293411,101.6889175,29
3.1468634,101.6186865,9
3.1516964,101.6942371,19
3.2083304,101.304146,0
3.2530813,101.7356842,3
3.3537033,-76.5218673,6
3.4324768,-76.5277805,2
3.540057,103.4321821,3
3.5613218,98.6568033,55
3.5894617,98.6741623,61
3.8974239,11.5085674,33
4.1487253,9.2864747,18
